salary,companyNature,minSalary,workYear,companySize,companyUrl,companyName,jobName,location,edu,maxSalary,jobUrl,deatil
15001-20000,上市公司,15001,,10000人以上,http://special.zhaopin.com/2018/gz/gday011190,广东奥园商业地产集团有限公司,项目经理,惠州,大专,20000,http://jobs.zhaopin.com/198502226252275.htm,...
10001-15000,民营,10001,,20人以下,http://company.zhaopin.com/CZ516665130.htm,辽宁语嫣商务信息咨询有限公司,日语翻译-日本温泉酒店/免税店/机场/奢侈品,惠州,大专,15000,http://jobs.zhaopin.com/CC516665130J00043273412.htm,...
4001-6000,股份制企业,4001,,1000-9999人,http://special.zhaopin.com/pagepublish/28146593/index.html,广州丝贝朗企业管理咨询有限公司,店面营业员,惠州,不限,6000,http://jobs.zhaopin.com/281465937250758.htm,...
2500-5000,股份制企业,2500,,1000-9999人,http://special.zhaopin.com/pagepublish/28146593/index.html,广州丝贝朗企业管理咨询有限公司,惠城区店员/营业员,惠州,不限,5000,http://jobs.zhaopin.com/281465937250231.htm,...
4001-6000,上市公司,4001,1-3年,500-999人,http://company.zhaopin.com/CZ315305310.htm,苏州麦迪斯顿医疗科技股份有限公司,软件实施工程师,惠州,大专,6000,http://jobs.zhaopin.com/CC315305310J00073468904.htm,"  任职要求:   1、计算机、通信、医疗信息化等相关专业大专及以上学历； 2、1年以上软件行业现场履约实施工作经验者，优秀应届生亦可； 3、具备基础的计算机硬件及网络知识,了解"
6001-8000,国企,6001,,1000-9999人,http://special.zhaopin.com/pagepublish/15195931/index.html,中国联通有限公司佛山分公司,软件开发工程师,惠州,本科,8000,http://jobs.zhaopin.com/151959314250631.htm,  岗位职责：  1  负责撰写需求文档、设计文档等相关技术文案。  2  根据业务需求，对系统进行开发，测试及优化；  3  负责系统指定模块的编码工作，协助小组其他人员共同完成项目；  4  分析现有系统的瓶颈，提高系统性能；  任职要求：  1  熟练B/S架构开发、熟练掌握c#、asp
7000-14000,国企,7000,,1000-9999人,http://company.zhaopin.com/CC237148838.htm,惠州海格科技股份有限公司,设备自动化工程师,惠州,大专,14000,http://jobs.zhaopin.com/237148838252027.htm,  岗位职责： 1.负责自动化测试框架的搭建，优化，实施自动化测试、撰写测试分析报告； 2.编写脚本程序提高设备自动化测试，精简人力，降低成本； 3.积极寻求可以提高生产效率的方案，提升检测品质，降低测试重测率，降低人为重测率； 工作要求： 1.三年及以上自动化测试软件开发工作经验； 2.为自动化设...
6001-8000,民营,6001,,500-999人,http://special.zhaopin.com/bf/2015/rxgy110609,北京荣新广育科技有限公司,java售前售后技术支持IT带薪实习生,惠州,中专,8000,http://jobs.zhaopin.com/209732211322008.htm,   1：大专以上学历，应往届计算机专业毕业生，对编程感兴趣，有意向在北京发展；  2：计算机(网络)、软件工程、电子技术、自动化、电子商务、应用数学等相关专业；  3：有计算机语言基础，如：JAVA、.C语言、C++、C#
6001-8000,民营,6001,,1000-9999人,http://company.zhaopin.com/CZ394810020.htm,大隆饰品玩具(惠州)有限公司,软件开发工程师,惠州-惠城区,不限,8000,http://jobs.zhaopin.com/394810024250055.htm,...
10000-20000,股份制企业,10000,,10000人以上,http://company.zhaopin.com/P7/CC0000/5046/D902/500/CC000050468D90250000000.htm,TCL多媒体,MES应用架构师,惠州,本科,20000,http://jobs.zhaopin.com/000050468265455.htm,...
6000-9000,民营,6000,1-3年,20-99人,http://company.zhaopin.com/CZ235872580.htm,惠州市行讯网络服务有限公司,软件工程师（周末双休）,惠州,大专,9000,http://jobs.zhaopin.com/CC235872589J00112438401.htm,...
15001-20000,上市公司,15001,3-5年,10000人以上,http://company.zhaopin.com/P2/CC1913/5101/CC191351014.htm,敏华控股有限公司,ABAP软件开发工程师,惠州-大亚湾区,本科,20000,http://jobs.zhaopin.com/191351014251220.htm,"  岗位职责：  主要负责SAP-SD模块的开发及销售相关的外围集成开发工作。  任职要求：  1、本科，三年以上ABAP开发工作经验，熟悉SAP-SD/FICO模块业务流程。  2、有C#,"
4001-6000,国企,4001,,1000-9999人,http://company.zhaopin.com/CC237148838.htm,惠州海格科技股份有限公司,MES开发技术员,惠州,大专,6000,http://jobs.zhaopin.com/237148838251456.htm,"  工作要求： 1、大专以上学历，计算机软件相关专业,应届生亦可考虑； 2、有一定的C#"
4001-6000,上市公司,4001,,10000人以上,http://special.zhaopin.com/2018/gz/gday011190,广东奥园商业地产集团有限公司,资料员,惠州-惠阳区,大专,6000,http://jobs.zhaopin.com/198502226254076.htm,...
4001-6000,民营,4001,1-3年,100-499人,http://company.zhaopin.com/CC220343216.htm,广东网联实业有限公司,市场营销/企业管理/销售代表,惠州,大专,6000,http://jobs.zhaopin.com/220343216250175.htm,...
6001-8000,民营,6001,,500-999人,http://company.zhaopin.com/CC238076930.htm,北京艺耘诺布投资管理有限公司,java软件工程师,惠州,中专,8000,http://jobs.zhaopin.com/238076930284336.htm,...
8000-16000,民营,8000,,20-99人,http://company.zhaopin.com/CZ269929430.htm,惠州市千秋软件开发有限公司,软件工程师,惠州,大专,16000,http://jobs.zhaopin.com/269929438250035.htm,  岗位职责：  1、 完成软件系统代码的实现，编写代码注释和开发文档；   2、 辅助进行系统的功能定义，程序设计；   3、 根据设计文档或需求说明完成代码编写、调试、测试和维护；   4、 分析并解决软件开发中的问题；   5、 配合项目经理完成相关任务目标。   任职要求：  1、热爱软件编...
